book url,reader count,twitter count,facebook count,total fb and twitter
https://leanpub.com/ShacharWants,0,4,9,13
https://leanpub.com/testmobileapps,0,162,127,289
https://leanpub.com/learn-how-products-get-started,0,0,1,1
https://leanpub.com/rebellion,0,0,19,19
https://leanpub.com/ohmyjs,1022,7,12,19
https://leanpub.com/archesv2installationguide,225,0,0,0
https://leanpub.com/zendframework2-en,1007,43,26,69
https://leanpub.com/tpwr,0,15,0,15
https://leanpub.com/nonprofitbookofawesome2013,17,7,0,7
https://leanpub.com/roseonfire,56,29,141,170
https://leanpub.com/thequestofthebrokenegg,3,0,0,0
https://leanpub.com/manageyourjobsearch,429,33,8,41
https://leanpub.com/settingupscientificpythonformacosx,6,0,0,0
https://leanpub.com/legacyoflove,0,1,3,4
https://leanpub.com/thingsiveseenwhiledreaming,14,0,0,0
https://leanpub.com/rapid-prototyping-with-js,1432,129,156,285
https://leanpub.com/wish,0,0,1,1
https://leanpub.com/sapphireandsage,14,9,36,45
https://leanpub.com/genesis-study-guide,3,0,0,0
https://leanpub.com/hibernate4-example-programs,1613,3,0,3
https://leanpub.com/jq11,0,3,0,3
https://leanpub.com/ThePolarBearer,0,3,1,4
https://leanpub.com/emberonrails,5,0,0,0
https://leanpub.com/your-first-ios-app,481,71,3,74
https://leanpub.com/lavenutadeglidei,4,0,0,0
https://leanpub.com/Philippines2014,0,0,0,0
https://leanpub.com/Abandonmentparty,23,2,28,30
https://leanpub.com/littlemimiseries,0,0,0,0
https://leanpub.com/balancebasics,25,0,0,0
https://leanpub.com/ArchesUserGuide,175,0,245,245
https://leanpub.com/dowhatyoulove,8315,14,2,16
https://leanpub.com/iword-food-additives-introduction,2,0,0,0
https://leanpub.com/shieldingadyinglight,2,0,0,0
https://leanpub.com/holylandkanbanbestof,293,8,1,9
https://leanpub.com/what-the-float,91,0,0,0
https://leanpub.com/hpmor,570,3,9,12
https://leanpub.com/8000holes,158,86,23,109
https://leanpub.com/jsf,45,10,1,11
https://leanpub.com/dealwithit,453,100,31,131
https://leanpub.com/alpha-dog,17,0,0,0
https://leanpub.com/gyrovagues,24,1,17,18
https://leanpub.com/thesimpleleader,20,0,0,0
https://leanpub.com/Heribone,2,0,0,0
https://leanpub.com/roseinice,7,9,141,150
https://leanpub.com/mistressofmolecules,0,0,0,0
https://leanpub.com/TheBestLaidPlans,13,0,1,1
https://leanpub.com/entarch,1007,16,1,17
https://leanpub.com/WorkingWithLegacySystems,464,9,0,9
https://leanpub.com/android44appdevelopmentessentials,28,0,0,0
https://leanpub.com/shako,109,0,0,0
https://leanpub.com/marionette-gentle-introduction,2419,75,21,96
https://leanpub.com/moresecrets,2,0,0,0
https://leanpub.com/zenia,10,0,0,0
https://leanpub.com/clojure-for-the-brave-and-true,193,17,0,17
https://leanpub.com/fromtheabyss,0,1,0,1
https://leanpub.com/sistagirlz-book-1-livin-just-enough-WHDFHL,0,0,0,0
https://leanpub.com/securingphp-coreconcepts,181,80,16,96
https://leanpub.com/codingdojohandbook,665,188,37,225
https://leanpub.com/TechnicallySpeaking,0,10,6,16
https://leanpub.com/talktomebook,0,2,2,4
https://leanpub.com/fourladsopairts,0,0,0,0
https://leanpub.com/Genetics,0,0,0,0
https://leanpub.com/cocinanatural,0,0,2,2
https://leanpub.com/hackerways,0,21,0,21
https://leanpub.com/nodecraftsman,1568,29,2,31
https://leanpub.com/oopinjavascript,1039,267,111,378
https://leanpub.com/git-flow,178,3,0,3
https://leanpub.com/MasteringBacklogs,71,25,1,26
https://leanpub.com/lyceum,0,0,0,0
https://leanpub.com/lean,610,26,4,30
https://leanpub.com/christlike,2,0,0,0
https://leanpub.com/meteortutorial,212,27,0,27
https://leanpub.com/excitingwebpages,3,1,0,1
https://leanpub.com/nlc_beyondblueridge,0,0,0,0
https://leanpub.com/denvercoloradocsaguide,12,0,566,566
https://leanpub.com/nysfederations,0,0,0,0
https://leanpub.com/senateofblood,30,51,141,192
https://leanpub.com/naturesfate,4,0,1,1
https://leanpub.com/fortcollinscoloradocsaguide,3,0,566,566
https://leanpub.com/javascriptnosql,99,7,12,19
https://leanpub.com/breves-sinsentidos,3,15,4,19
https://leanpub.com/leana,4,2,15,17
https://leanpub.com/thesupernaturalparadox,0,0,0,0
https://leanpub.com/principles-of-php-package-design,155,100,5,105
https://leanpub.com/build,314,55,4,59
https://leanpub.com/splitdecision,5,1,13,14
https://leanpub.com/writingwithscrivenerandleanpub,33,0,0,0
https://leanpub.com/batir-des-api-que-vous-aimerez,0,1,1,2
https://leanpub.com/laravel-testing-decoded,2166,508,296,804
https://leanpub.com/aboutbloodytime,0,0,0,0
https://leanpub.com/hipaaauditprogramprotocol,0,0,0,0
https://leanpub.com/ElectricFertilizerBook,0,8,1,9
https://leanpub.com/solr-vs-elasticsearch,13,1,0,1
https://leanpub.com/nwotdbook,144,13,39,52
https://leanpub.com/msoffice,35,0,0,0
https://leanpub.com/tco-apple-tv,0,0,0,0
https://leanpub.com/homophobicbullying,0,1,6,7
https://leanpub.com/searchingforlove,6,13,170,183
https://leanpub.com/piratescavern,26,25,11,36
https://leanpub.com/le-guide-ultime-et-zen-de-max-for-live,98,0,0,0
https://leanpub.com/startingover,0,0,0,0
https://leanpub.com/manual,722,1,0,1
https://leanpub.com/chanceslasthumanity,15,2,19,21
https://leanpub.com/lispwebtales,424,9,1,10
https://leanpub.com/leaflet-tips-and-tricks,1825,34,11,45
https://leanpub.com/perfectsoftware,2,0,0,0
https://leanpub.com/WhoisagileSouthAfrica,19,33,33,66
https://leanpub.com/judo4parents,19,2,2,4
https://leanpub.com/HongKong2014,0,0,0,0
https://leanpub.com/cheatingdeath,0,0,6,6
https://leanpub.com/themarchmontfalcon,0,3,0,3
https://leanpub.com/makingmoneyonlinefromhome,0,0,0,0
https://leanpub.com/eloquentjavascript,438,2,18,20
https://leanpub.com/itsyourmove,16,6,13,19
https://leanpub.com/nonlinear,0,0,9,9
https://leanpub.com/conhecendo-ruby,984,76,89,165
https://leanpub.com/bloodanddust,25,4,0,4
https://leanpub.com/sublime-productivity,1475,204,59,263
https://leanpub.com/noiseofcreation,84,15,15,30
https://leanpub.com/backbonetutorials,24333,98,39,137
https://leanpub.com/tikhon,0,1,0,1
https://leanpub.com/javaForTesters,1074,82,49,131
https://leanpub.com/netiquette,3,3,0,3
https://leanpub.com/selenium_recipes,0,1,0,1
https://leanpub.com/automation-and-monitoring-with-hubot,66,8,5,13
https://leanpub.com/anovelist,3,2,114,116
https://leanpub.com/spreadsheetstories,60,53,19,72
https://leanpub.com/bastards-regexes,2687,47,12,59
https://leanpub.com/codebright,4020,662,440,1102
https://leanpub.com/mikistli_death-mexepic_vol1,0,21,0,21
https://leanpub.com/howtobefree,112,0,0,0
https://leanpub.com/dirk-finley-something-borrowed,5,0,1,1
https://leanpub.com/startupflow,169,14,12,26
https://leanpub.com/SometimesWeRan2,0,31,0,31
https://leanpub.com/power_lines,0,0,0,0
https://leanpub.com/gundamseeddestinydarknessrising,0,0,0,0
https://leanpub.com/ControversialLove,40,8,189,197
https://leanpub.com/l4,6561,35,70,105
https://leanpub.com/VimLikeAPro,815,19,0,19
https://leanpub.com/gooddaystory,5,0,62,62
https://leanpub.com/structuring-backbone-with-requirejs-and-marionette,985,30,11,41
https://leanpub.com/heronfable,0,0,23,23
https://leanpub.com/beatingviolence,0,7,251,258
https://leanpub.com/laravel_in_pratica,0,9,20,29
https://leanpub.com/tcoc,59,17,4,21
https://leanpub.com/boatman-bob-and-a-dog-named-popsicle-fun-at-the-fair,0,0,0,0
https://leanpub.com/procurementintroduction,88,2,5,7
https://leanpub.com/Imperia,68,1,5,6
https://leanpub.com/lessofmehcg,3,0,1,1
https://leanpub.com/fp-oo,3659,553,92,645
https://leanpub.com/chessbegins,23,1,0,1
https://leanpub.com/leprechauns,1583,391,50,441
https://leanpub.com/joesagilereleaseplanning,257,17,0,17
https://leanpub.com/wakingupwell,24,0,9,9
https://leanpub.com/rails-101,3825,14,121,135
https://leanpub.com/antifragilesoftware,231,46,7,53
https://leanpub.com/computingstyle,0,37,3,40
https://leanpub.com/multi-tenancy-rails,1318,235,93,328
https://leanpub.com/afafpov,0,26,36,62
https://leanpub.com/movingtohk,5,2,2,4
https://leanpub.com/shakespeare,0,52,46,98
https://leanpub.com/Making_Economic_Sense_Chinese_Version,0,0,2,2
https://leanpub.com/alexandhappy,6,0,0,0
https://leanpub.com/starlight,0,0,1,1
https://leanpub.com/LandoCruz,13,4,186,190
https://leanpub.com/academic-research,25,0,24,24
https://leanpub.com/EABA,39,0,0,0
https://leanpub.com/learnjs-01,81,0,0,0
https://leanpub.com/everydayrailsrspec-jp,782,238,152,390
https://leanpub.com/practical_web_test_automation,0,0,1,1
https://leanpub.com/safariwnamibii,0,1,5,6
https://leanpub.com/html5basic,0,0,0,0
https://leanpub.com/triggerpoint,4,4,82,86
https://leanpub.com/purgatoire,6,0,0,0
https://leanpub.com/agilepitfalls,42,0,0,0
https://leanpub.com/laravel4cookbook-es,33,3,2,5
https://leanpub.com/apocalipses-individuais,0,0,6,6
https://leanpub.com/pride-and-paradev,0,25,8,33
https://leanpub.com/hepc,58,0,52,52
https://leanpub.com/community,8,11,7,18
https://leanpub.com/uncensored,585,3,0,3
https://leanpub.com/India2014,0,0,0,0
https://leanpub.com/agile-expression-de-besoins,152,166,1,167
https://leanpub.com/IA-pg,0,0,0,0
https://leanpub.com/unitedfront,5,1,7,8
https://leanpub.com/WhoIsAgile,484,190,101,291
https://leanpub.com/tco-podcasting-on-the-mac,0,0,0,0
https://leanpub.com/thrive,0,1,0,1
https://leanpub.com/homeownerhacks,0,90,0,90
https://leanpub.com/thesecretsofconsulting,20,37,23,60
