Book Title,Sum of authors twitter followers,Number of readers
Things I've Seen While Dreaming,0,14
Tap Into Mobile Application Testing,1188,0
Shachar Wants,0,0
The Nonprofit Book of Awesome,903,17
Arches v2 Installation Guide,154,225
Efficiënt scripten met jQuery 1.11 (jQuery 2.1),6,0
Rebellion,0,0
Learn How Products Get Started,0,0
Manage Your Job Search,6463,429
Text Processing with Ruby,256,0
La venuta degli dei,0,4
Rose on Fire,0,56
Oh My JS,2607,1022
How To Make Wishes That Come True,11100,0
Rapid Prototyping with JS,2607,1432
Arches: heritage inventory & management system - User Guide,154,175
Setting Up Scientific Python for Mac OSX,43,6
Web Development with Zend Framework 2,49,1007
שומר הקוטב,0,0
Hibernate 4 Example Programs,139,1613
Holy Land Kanban,1699,293
Sapphire and Sage,0,14
The Quest of the Broken Egg,0,3
Philippines 2014,277000,0
Abandonment Party,0,23
Web Development with Java and JSF,0,45
Ember on Rails,895,5
The Women Behind The Crest,879,0
How to Do What You Love & Earn What You’re Worth as a Programmer,9288,8315
認識食品添加物,0,2
The Simple Leader,0,20
Balance Basics,0,25
B'reisheet • Genesis,0,3
What The Float?,112,91
Harry Potter and the Methods of Rationality,1119,570
Fifty Enterprise Architect Tricks,560,1007
8000 Holes: How the 2012 Olympic Torch Relay Lost its Way,21494,158
Your First iOS 7 App,4422,481
Made in Brazil: Vol. 1 - Alpha Dog,0,17
Gyrovagues,3,24
Personal Business Correspondence,14,109
Rose in Ice,154,7
Little Mimi and Her World,0,0
Heribone,0,2
Mistress of Molecules,7211,0
Livin' Just Enough: Rachael's Story,799,0
Zenia,0,10
Shielding a Dying Light,737,2
The Best Laid Plans,0,13
Android 4.4 App Development Essentials,0,28
The Coding Dojo Handbook,1249,665
Eugene's Genetics,0,0
Deal With It,774,453
Backbone.Marionette.js: A Gentle Introduction,263,2419
More Secrets of Consulting,7211,2
Cocina Natural,0,0
Git Flow,5471,178
Working with Legacy Systems,102,464
Clojure for the Brave and True,0,193
Securing PHP: Core Concepts,4366,181
Growing Agile: A Coach's Guide to Mastering Backlogs,2186,71
Denver Colorado CSA Guide,203,12
From the Abyss,0,0
Talk To Me: Workplace Conversations That Work,1032,0
Technically Speaking,0,0
Christ-Like,0,2
The Supernatural Paradox,0,0
