Book Title,Sum of authors twitter followers,Number of readers,min price,max price
Things I've Seen While Dreaming,0,14,149,599
Tap Into Mobile Application Testing,1188,0,-1,1499
Shachar Wants,0,0,-1,499
The Nonprofit Book of Awesome,903,17,999,2013
Arches v2 Installation Guide,154,225,-1,-1
Efficiënt scripten met jQuery 1.11 (jQuery 2.1),6,0,2000,2500
Rebellion,0,0,99,399
Learn How Products Get Started,0,0,-1,1499
Manage Your Job Search,6463,429,999,1599
Text Processing with Ruby,256,0,699,999
La venuta degli dei,0,4,299,499
Rose on Fire,0,56,-1,999
Oh My JS,2607,1022,-1,499
How To Make Wishes That Come True,11100,0,149,500
Rapid Prototyping with JS,2607,1432,-1,1499
Arches: heritage inventory & management system - User Guide,154,175,-1,-1
Setting Up Scientific Python for Mac OSX,43,6,-1,99
Web Development with Zend Framework 2,49,1007,1200,2000
שומר הקוטב,0,0,-1,-1
Hibernate 4 Example Programs,139,1613,-1,-1
Holy Land Kanban,1699,293,600,1200
Sapphire and Sage,0,14,99,499
The Quest of the Broken Egg,0,3,99,499
Philippines 2014,277000,0,888,1888
Abandonment Party,0,23,-1,599
Web Development with Java and JSF,0,45,699,3499
Ember on Rails,895,5,-1,4900
The Women Behind The Crest,879,0,1500,2000
How to Do What You Love & Earn What You’re Worth as a Programmer,9288,8315,499,999
認識食品添加物,0,2,-1,99
The Simple Leader,0,20,99,1999
Balance Basics,0,25,1200,2600
B'reisheet • Genesis,0,3,-1,499
What The Float?,112,91,-1,6000
Harry Potter and the Methods of Rationality,1119,570,-1,-1
Fifty Enterprise Architect Tricks,560,1007,1399,1799
8000 Holes: How the 2012 Olympic Torch Relay Lost its Way,21494,158,-1,199
Your First iOS 7 App,4422,481,999,1999
Made in Brazil: Vol. 1 - Alpha Dog,0,17,-1,499
Gyrovagues,3,24,599,999
Personal Business Correspondence,14,109,-1,499
Rose in Ice,154,7,-1,200
Little Mimi and Her World,0,0,99,299
Heribone,0,2,99,499
Mistress of Molecules,7211,0,-1,699
Livin' Just Enough: Rachael's Story,799,0,425,499
Zenia,0,10,-1,499
Shielding a Dying Light,737,2,99,499
The Best Laid Plans,0,13,-1,99
Android 4.4 App Development Essentials,0,28,-1,999
The Coding Dojo Handbook,1249,665,2000,2500
Eugene's Genetics,0,0,399,599
Deal With It,774,453,199,399
Backbone.Marionette.js: A Gentle Introduction,263,2419,1700,2500
More Secrets of Consulting,7211,2,-1,999
Cocina Natural,0,0,499,799
Git Flow,5471,178,-1,999
Working with Legacy Systems,102,464,1000,1500
Clojure for the Brave and True,0,193,2500,3000
Securing PHP: Core Concepts,4366,181,-1,1999
Growing Agile: A Coach's Guide to Mastering Backlogs,2186,71,1000,1500
Denver Colorado CSA Guide,203,12,-1,1000
From the Abyss,0,0,99,499
Talk To Me: Workplace Conversations That Work,1032,0,499,899
Technically Speaking,0,0,499,999
Christ-Like,0,2,99,999
The Supernatural Paradox,0,0,99,499
Tulliallan: Four lads o' pairts,0,0,800,1000
The Hacker Ways,124,0,1499,2499
The Node Craftsman Book,1550,1568,699,999
Night Life Chronicles: Beyond Blue Ridge,54,0,99,199
Navajo: A Collection of NavajoWOTD Mini-Lessons,0,144,-1,600
Principles of Object-Oriented Programming in JavaScript,0,1039,1499,1999
Lean Publishing,863,610,499,999
Lyceum,385,0,99,499
Hands-On Web Application with Javascript Frameworks and NoSQL,38,99,999,1599
Hong Kong 2014,277000,0,888,1888
Keeping Stuff Where It Can Be Seen,0,0,99,499
Creating Exciting Web Pages,0,3,100,500
Your First Meteor Application,942,212,1200,1900
Psychic Awakening,5,4,99,499
Sublime Productivity,3803,1475,2200,2500
Fort Collins Colorado CSA Guide,203,3,-1,1000
Nature's Fate,0,4,499,999
Senate of Blood,154,30,-1,399
Principles of PHP Package Design,1534,155,-1,2900
Power lines,273,0,-1,199
Writing With Scrivener and Leanpub,0,33,99,299
Breves sinsentidos,940,3,600,1000
Split Decision,0,5,579,1279
Bâtir des API que vous aimerez,11100,0,700,1000
เรื่องราวในวันดีๆ,0,5,499,699
Take Control of Apple TV (1.0),704,0,-1,1000
Beautiful Builds,11700,314,799,1199
FastTrack Essentials: MS Office 2007,0,35,-1,499
About Bloody Time,0,0,699,1199
Chess begins,59,23,99,499
Judo for Parents,1203,19,99,499
Laravel Testing Decoded,21300,2166,2000,2500
Cheating Death,0,0,795,1095
Electro-Horticulture,172,0,999,1499
Autism From a Father's Point of View,10700,0,-1,299
Conhecendo Ruby,1381,984,-1,1000
HIPAA Audit Program Protocol,130,0,1995,3495
A Sword of Wrath,0,25,-1,499
Understanding Homophobic Bullying Within Schools,0,0,-1,1000
Apocalipses Individuais,980,0,199,499
Netiquette,0,3,99,499
Solr vs. ElasticSearch,196,13,-1,1000
Selenium Recipes in Ruby,0,0,999,1999
Le Guide Ultime et Zen de Max for Live,1984,98,3000,3999
Spécifiez agile,854,152,900,1500
Laravel 4 Official Documentation,0,6561,-1,499
Searching For Love,198,6,250,999
Controversial Love,366,40,-1,300
starting over,0,0,99,299
The Success Man,0,29,-1,-1
The Heron and the Tortoise,0,0,199,612
The Pirates' Cavern,2700,26,-1,499
Less of Me with HCG,0,3,-1,1499
Lisp Web Tales,293,424,-1,1000
A Programmer's Diary,90,18,-1,99
The Leprechauns of Software Engineering,2190,1583,1000,2000
The Leanpub Manual,1303,722,-1,-1
Waking Up Well,0,24,-1,1000
Perfect Software,7211,2,-1,999
Take Control of Pages,0,983,-1,1500
Antifragile Software,1238,231,1000,2799
Chance's Last Humanity,0,15,-1,-1
Shakespeare: The Evidence,3215,0,1499,1999
The Marchmont Falcon,265,0,199,499
A Year With Symfony,1534,926,-1,2500
Moving to Hong Kong: The definitive guide for people in finance,83,5,200,500
Leaflet Tips and Tricks,312,1825,-1,99
Pride and Paradev,0,0,-1,2000
Eloquent JavaScript - second edition,55,438,-1,-1
Scraping for Journalists,21400,1020,1510,2001
Laravel 4 Cookbook (ES),0,33,1999,2999
Who is agile in South Africa?,6240,19,99,1000
Infinate Adventures,0,0,-1,499
Nonlinear Living,65700,0,1499,4499
Remaining relevant and employable in a changing world,0,0,499,999
India 2014,277000,0,888,1888
Making Money Online From Home,0,0,499,999
PHP Beyond the web,0,105,1999,2999
Noise of Creation,390,84,-1,-1
Getting Started HTML,122,0,199,599
Myanmar 2014,277000,0,888,1888
It's Your Move,362,16,-1,399
Web Application Testing in Ruby,937,7497,-1,999
Tikhon,385,0,-1,499
Choosing a full-time Coding Bootcamp,362,107,199,3999
Modernizing Legacy Applications In PHP,1939,407,3900,4900
Backbone Tutorials,3007,24333,-1,499
darkroom retreat,16,12,-1,800
Automation and Monitoring with Hubot,167,66,2000,3000
Affärsplan FTW!,0,0,-1,900
Game Development Design,71,68,100,250
Java For Testers,1439,1074,499,2499
Cambodia 2014,277000,0,888,1888
Finding Stories in Spreadsheets,21400,60,1299,1999
The Hip Control Guide,0,34,1240,2380
Programmeren voor kinderen,4917,0,549,959
A Novelist,21,3,200,800
Best of Andrew Chen's Blog,0,1223,-1,999
The Bastards Book of Regular Expressions,6700,2687,-1,499
CQRS,2074,532,1199,1500
New World,0,2,99,400
Laravel: Code Bright,6657,4020,2999,3999
Laravel 4 Docs (Updated for 4.2.x),83,1715,-1,299
Mikistli (Death),255,0,199,1399
Integration Testing from the Trenches,681,0,2000,3000
Cancelled,117,6,99,499
How to be Free,347,112,-1,400
QUnit Cookbook En Español,310,48,-1,-1
Dirk Finley: Something Borrowed,366,5,-1,299
A Hole In The Universe,0,0,99,499
Mongolia 2014,277000,0,888,1888
Startup Flow,635,169,499,999
Meninism,0,13,-1,-1
