Book Title,Sum of authors twitter followers,Number of readers,min price,max price
Things I've Seen While Dreaming,0,14,149,599
The Nonprofit Book of Awesome,903,17,999,2013
Manage Your Job Search,6463,429,999,1599
La venuta degli dei,0,4,299,499
Rose on Fire,0,56,-1,999
Oh My JS,2607,1022,-1,499
Rapid Prototyping with JS,2607,1432,-1,1499
Setting Up Scientific Python for Mac OSX,43,6,-1,99
Web Development with Zend Framework 2,49,1007,1200,2000
Holy Land Kanban,1699,293,600,1200
Sapphire and Sage,0,14,99,499
The Quest of the Broken Egg,0,3,99,499
Abandonment Party,0,23,-1,599
Web Development with Java and JSF,0,45,699,3499
Ember on Rails,895,5,-1,4900
How to Do What You Love & Earn What You’re Worth as a Programmer,9288,8315,499,999
認識食品添加物,0,2,-1,99
The Simple Leader,0,20,99,1999
Balance Basics,0,25,1200,2600
B'reisheet • Genesis,0,3,-1,499
What The Float?,112,91,-1,6000
Fifty Enterprise Architect Tricks,560,1007,1399,1799
8000 Holes: How the 2012 Olympic Torch Relay Lost its Way,21494,158,-1,199
Your First iOS 7 App,4422,481,999,1999
Made in Brazil: Vol. 1 - Alpha Dog,0,17,-1,499
Gyrovagues,3,24,599,999
Personal Business Correspondence,14,109,-1,499
Rose in Ice,154,7,-1,200
Heribone,0,2,99,499
Zenia,0,10,-1,499
Shielding a Dying Light,737,2,99,499
The Best Laid Plans,0,13,-1,99
Android 4.4 App Development Essentials,0,28,-1,999
The Coding Dojo Handbook,1249,665,2000,2500
Deal With It,774,453,199,399
Backbone.Marionette.js: A Gentle Introduction,263,2419,1700,2500
More Secrets of Consulting,7211,2,-1,999
Git Flow,5471,178,-1,999
Working with Legacy Systems,102,464,1000,1500
Clojure for the Brave and True,0,193,2500,3000
Securing PHP: Core Concepts,4366,181,-1,1999
Growing Agile: A Coach's Guide to Mastering Backlogs,2186,71,1000,1500
Denver Colorado CSA Guide,203,12,-1,1000
Christ-Like,0,2,99,999
The Node Craftsman Book,1550,1568,699,999
Navajo: A Collection of NavajoWOTD Mini-Lessons,0,144,-1,600
Principles of Object-Oriented Programming in JavaScript,0,1039,1499,1999
Lean Publishing,863,610,499,999
Hands-On Web Application with Javascript Frameworks and NoSQL,38,99,999,1599
Creating Exciting Web Pages,0,3,100,500
Your First Meteor Application,942,212,1200,1900
Psychic Awakening,5,4,99,499
Sublime Productivity,3803,1475,2200,2500
Fort Collins Colorado CSA Guide,203,3,-1,1000
Nature's Fate,0,4,499,999
